,filename,split,sentence
20,117.tif,train,"['there are many houses arranged neatly and divided into rectangles by some roads', 'a residential area with many houses arranged neatly and divided by some roads', 'there are lots of houses with different colours of roofs in the residentail area', 'many houses arranged neatly in the residentail area and divided into rectangles by some roads', 'a residential area with many houses divided into rectangles by some roads']"
21,118.tif,train,"['there are many houses arranged neatly and divided into rectangles by some roads', 'a residential area with many houses arranged neatly and divided by some roads', 'there are lots of houses with different colours of roofs in the residentail area', 'many houses arranged neatly in the residentail area and divided into rectangles by some roads', 'a residential area with many houses divided into rectangles by some roads']"
22,119.tif,train,"['there are many houses arranged neatly and divided into rectangles by some roads', 'a residential area with many houses arranged neatly and divided by some roads', 'there are lots of houses with different colours of roofs in the residentail area', 'many houses arranged neatly in the residentail area and divided into rectangles by some roads', 'a residential area with many houses divided into rectangles by some roads']"
23,12.tif,train,"['lots of houses with red and orange roofs arranged neatly', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged neatly and a road junction in the middle of this area', 'a dense residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses and a road junction in the middle']"
24,120.tif,train,"['lots of houses with red and orange roofs arranged densely and a piece of lawn beside', 'a residential area with houses arranged neatly and some roads go through this area', 'a big piece of lawn and a residential area are separated by a road', 'a residential area with many houses arranged neatly and a big piece of lawn beside', 'a residential area with houses densely arranged and a big piece of grassland beside']"
25,121.tif,train,"['lots of houses with red and orange roofs arranged densely and a piece of lawn beside', 'a residential area with houses arranged neatly and some roads go through this area', 'a big piece of lawn and a residential area are separated by a road', 'a residential area with many houses arranged neatly and a big piece of lawn beside', 'a residential area with houses densely arranged and a big piece of grassland beside']"
26,122.tif,train,"['lots of houses arranged densely with some roads go through this area', 'a residential area with many houses densely arranged and separated by some roads', 'this is a town with many houses densely arranged and some roads go through', 'a residential area with houses arranged neatly while many plants on the roadside', 'there are some roads go through the residential area']"
27,123.tif,train,"['lots of houses arranged densely with some roads go through this area', 'a residential area with many houses densely arranged and separated by some roads', 'this is a town with many houses densely arranged and some roads go through', 'a residential area with houses arranged neatly while many plants on the roadside', 'there are some roads go through the residential area']"
28,124.tif,train,"['lots of houses arranged densely in the residential area with a railway passed by', 'a residential area with many houses densely arranged while a railway passed by', 'a railway passed by a residential area', 'a residential area with houses arranged neatly while some roads go across this area', 'a residential area with houses arranged neatly and a railway passed by']"
29,125.tif,train,"['lots of houses with red and orange roofs arranged neatly', 'a residential area with houses arranged neatly and some roads go across this area', 'a town with many houses arranged neatly and divided by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses densely arranged and devided by some roads']"
30,126.tif,train,"['lots of houses with red and orange roofs arranged neatly', 'a residential area with houses arranged neatly and some roads go across this area', 'a town with many houses arranged neatly and divided by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses densely arranged and devided by some roads']"
31,127.tif,train,"['lots of houses with red and orange roofs arranged neatly', 'a residential area with houses arranged neatly and some roads go across this area', 'a town with many houses arranged neatly and divided by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses densely arranged and devided by some roads']"
32,128.tif,train,"['lots of houses with red and orange roofs arranged densely and a railway beside', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged densely and a railway passed by', 'a residential area with houses arranged neatly while a railway passed by', 'a residential area with many houses densely arranged and a railway beside']"
33,129.tif,train,"['many houses arranged in lines in a residential area', 'a residential area with houses arranged in lines while some roads go through this area', 'a town with many houses arranged in lines some while roads go through this area', 'a residential area with houses arranged very neatly while many plants on the roadside', 'a residential area with houses neatly arranged and some straight roads go through']"
34,13.tif,train,"['lots of houses with different colors of roofs arranged neatly', 'a dense residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged neatly while the houses are separated by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a dense residential area with houses arranged neatly and some crossroads in this area']"
35,130.tif,train,"['many houses arranged in lines in a residential area', 'a residential area with houses arranged in lines while some roads go through this area', 'a town with many houses arranged in lines some while roads go through this area', 'a residential area with houses arranged very neatly while many plants on the roadside', 'a residential area with houses neatly arranged and some straight roads go through']"
36,131.tif,train,"['many houses arranged in lines in a residential area', 'a residential area with houses arranged in lines while some roads go through this area', 'a town with many houses arranged in lines some while roads go through this area', 'a residential area with houses arranged very neatly while many plants on the roadside', 'a residential area with houses neatly arranged and some straight roads go through']"
37,132.tif,train,"['a residential area with many houses arranged neatly and divided into rectangles by some roads', 'there are lots of houses densely arranged and divided into rectangles by some roads', 'many houses arranged neatly and divided by into rectangles by some roads', 'lots of houses arranged neatly in the residential area', 'there are many houses arranged neatly and divided into rectangles by some roads']"
38,133.tif,train,"['a residential area with many houses arranged neatly and divided into rectangles by some roads', 'there are lots of houses densely arranged and divided into rectangles by some roads', 'many houses arranged neatly and divided by into rectangles by some roads', 'lots of houses arranged neatly in the residential area', 'there are many houses arranged neatly and divided into rectangles by some roads']"
39,134.tif,train,"['a residential area with many houses arranged neatly and divided into rectangles by some roads', 'there are lots of houses densely arranged and divided into rectangles by some roads', 'many houses arranged neatly and divided by into rectangles by some roads', 'lots of houses arranged neatly in the residential area', 'there are many houses arranged neatly and divided into rectangles by some roads']"
40,135.tif,train,"['lots of houses with red and orange roofs arranged neatly', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged densely and separated by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'this is a residential area with houses arranged neatly and some roads go through']"
41,136.tif,train,"['lots of houses with red and orange roofs arranged neatly', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged densely and separated by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'this is a residential area with houses arranged neatly and some roads go through']"
42,137.tif,train,"['lots of houses with red and orange roofs arranged neatly', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged densely and separated by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'this is a residential area with houses arranged neatly and some roads go through']"
43,138.tif,train,"['lots of houses arranged neatly and a piece of lawn in the lower right corner', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged neatly while a piece of lawn in the lower right corner', 'a residential area with houses arranged neatly while many plants in the roadside', 'this is a residential area with many houses arranged neatly and a grassland lower right corner']"
44,139.tif,train,"['lots of houses arranged neatly and a piece of lawn in the lower left corner', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged neatly while a piece of lawn in the lower left corner', 'a residential area with houses arranged neatly while many plants in the roadside', 'this is a residential area with many houses arranged neatly and a grassland lower left corner']"
45,14.tif,train,"['lots of houses with different colors of roofs arranged neatly', 'a dense residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged neatly while the houses are separated by some roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a dense residential area with houses arranged neatly and separated by the roads']"
46,140.tif,train,"['many houses arranged in lines in this residential area', 'a residential area with many houses arranged very neatly and some roads go though this area', 'a town with many houses arranged in lines while some roads go across this area', 'a residential area with houses arranged neatly while many plants on the roadside', 'some roads go through the residential area with many houses arranged neatly']"
47,141.tif,train,"['many houses arranged in lines in this residential area', 'a residential area with many houses arranged very neatly and some roads go though this area', 'a town with many houses arranged in lines while some roads go across this area', 'a residential area with houses arranged neatly while many plants on the roadside', 'some roads go through the residential area with many houses arranged neatly']"
48,142.tif,train,"['lots of houses with red and orange roofs are densely arranged and a wide road passed by', 'a residential area with houses densely arranged and a wide road go through this area', 'a town with many houses arranged densely with a piece of lawn beside', 'a residential area with houses densely arranged and a wide road passed by', 'a residential area with houses arranged neatly']"
49,143.tif,train,"['lots of houses with arranged densely in the residential area', 'this is a residential area with houses arranged neatly and some roads go through this area', 'there are many houses arranged densely while some roads go across this area', 'a residential area with houses arranged neatly while many plants on the roadside', 'many houses densely arranged and some roads go through this area']"
50,144.tif,train,"['lots of houses with arranged densely in the residential area', 'this is a residential area with houses arranged neatly and some roads go through this area', 'there are many houses arranged densely while some roads go across this area', 'a residential area with houses arranged neatly while many plants on the roadside', 'many houses densely arranged and some roads go through this area']"
51,145.tif,train,"['lots of houses arranged densely in the residential area and a piece of lawn in the lower right corner', 'a residential area with houses arranged neatly and some roads go through this area', 'many houses arranged densely with a piece of lawn in the lower right corner', 'a residential area with houses arranged neatly while a piece of lawn in the lower right corner', 'a residential area with many houses densely arranged and a grassland in the lower right corner']"
52,146.tif,train,"['lots of houses with red and orange roofs arranged in lines', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged in lines while some cars on the roads', 'a residential area with houses arranged neatly while many plants on the roadside', 'a residential area with houses arranged neatly']"
53,147.tif,train,"['many houses arranged densely with a piece of lawn beside', 'a residential area with lots of houses densely arranged and some roads go through this area', 'this is a residential area with many houses densely arranged and a piece of lawn beside', 'a residential area with many houses densely arranged and a piece of lawn beside', 'some roads go through the residential area and a piece of lawn beside this area']"
54,148.tif,train,"['many houses arranged densely with a piece of lawn beside', 'a residential area with lots of houses densely arranged and some roads go through this area', 'this is a residential area with many houses densely arranged and a piece of lawn beside', 'a residential area with many houses densely arranged and a piece of lawn beside', 'some roads go through the residential area and a piece of lawn beside this area']"
55,149.tif,train,"['a residential area with many houses arranged densely and a wide highway beside', 'there are many houses densely arranged and a wide highway beside', 'many houses densely arranged while a wide highway passed by', 'this is a residential area with a wide highway passed by', 'a residential area with lots of houses arranged densely and a highway passed by']"
56,15.tif,train,"['lots of houses with different colors of roofs arranged in lines', 'a residential area with houses arranged neatly and some roads go through this area', 'a town with many houses arranged in lines while some roads go through this area', 'a residential area with houses arranged neatly while many plants on the roadside', 'a dense residential area with houses arranged neatly with some t-junctions in this area']"
57,150.tif,train,"['a dense residential area with many houses arranged neatly', 'lots of houses are densely arranged and some roads go through this area', 'there are many houses arranged neatly while some roads go across', 'many houses are densely arranged and some roads go across this area', 'many houses densely arranged and some houses go across the residential area']"
58,151.tif,train,"['many house arranged neatly in the residential area while some roads go across this area', 'lots of houses are densely arranged with a wide high way in the lower right corner', 'a residential area with many houses arranged neatly and some plants in the lower right corner', 'there are many house arranged neatly while a wide highway and some plants in the lower right corner', 'many houses are densely arranged while a highway and some plants in the lower right corner']"
59,152.tif,train,"['many house arranged neatly in the residential area while some roads go across this area', 'lots of houses are densely arranged with a wide high way in the lower right corner', 'a residential area with many houses arranged neatly and some plants in the lower right corner', 'there are many house arranged neatly while a wide highway and some plants in the lower right corner', 'many houses are densely arranged while a highway and some plants in the lower right corner']"
60,153.tif,train,"['many houses are densely arranged and some lawns beside', 'lots of houses are densely arranged and some lawns beside in the residential area', 'a residential area with many houses and lawn while some roads go across', 'this is a residential area with many houses arranged neatly and some lawns beside', 'many houses arranged neatly with some lawns beside']"
61,154.tif,train,"['many houses arranged densely in the residential area', 'a residential area with many houses arranged densely while some roads go across', 'this is a residential area with many houses separated by some roads', 'many houses are densely arranged and separated by some roads', 'a dense residential area with many houses arranged neatly']"
62,155.tif,train,"['many houses arrange neatly and a piece of lawn in the upper right corner', 'there are lots of houses arranged neatly while a piece of lawn in the upper right corner', 'a residential area with many houses arranged neatly and a lawn in the upper right corner', 'many houses arranged neatly and a piece of lawn in the upper right corner', 'a residential area with lots of houses arranged neatly while a piece of lawn beside']"
63,156.tif,train,"['many houses arranged in lines while some roads go across', 'a residential area with many houses arranged neatly and separated by some roads', 'many houses arranged in lines and some roads go through this area', 'lots of houses arranged neatly while some roads go across this area', 'lots of houses arranged in lines and separated by some roads']"
64,157.tif,train,"['many houses arranged in lines while some roads go across', 'a residential area with many houses arranged neatly and separated by some roads', 'many houses arranged in lines and some roads go through this area', 'lots of houses arranged neatly while some roads go across this area', 'lots of houses arranged in lines and separated by some roads']"
65,158.tif,train,"['many houses arranged neatly with a main street go across this area', 'a residential area with many houses arranged neatly and a main road in the middle', 'this is a residential area with many houses and a main street in the middle', 'a residential area with many houses arranged neatly while a main street in the middle', 'lots of houses arranged neatly in the residential area with a main street in the middle']"
66,159.tif,train,"['many houses arranged neatly with a main street go across this area', 'a residential area with many houses arranged neatly and a main road in the middle', 'this is a residential area with many houses and a main street in the middle', 'a residential area with many houses arranged neatly while a main street in the middle', 'lots of houses arranged neatly in the residential area with a main street in the middle']"
67,16.tif,train,"['many houses arranged neatly and separated by a railway', 'a residential area with houses arranged neatly and a railway go through this area', 'a residential area with many houses arranged in lines and separated by a railway', 'a residential area with a railway go through and a road go over the railway', 'a dense residential area with a railway go through and a road go over the railway']"
68,160.tif,train,"['many houses arranged neatly with a main street go across this area', 'a residential area with many houses arranged neatly and a main road in the middle', 'this is a residential area with many houses and a main street in the middle', 'a residential area with many houses arranged neatly while a main street in the middle', 'lots of houses arranged neatly in the residential area with a main street in the middle']"
69,161.tif,train,"['many houses arranged neatly with a main street go across this area', 'a residential area with many houses arranged neatly and a main road in the middle', 'this is a residential area with many houses and a main street in the middle', 'a residential area with many houses arranged neatly while a main street in the middle', 'lots of houses arranged neatly in the residential area with a main street in the middle']"
70,162.tif,train,"['many houses arranged neatly with a main street go across this area', 'a residential area with many houses arranged neatly and a main road in the middle', 'this is a residential area with many houses and a main street in the middle', 'a residential area with many houses arranged neatly while a main street in the middle', 'lots of houses arranged neatly in the residential area with a main street in the middle']"
71,163.tif,train,"['a dense residential with many house separated by some roads', 'many houses are divide into some rectangles by some straight roads', 'this is a residential area with many houses divided into rectangles by some roads', 'lots of houses are divided into rectangles by some roads', 'this is a residential area are divided by some straight roads']"
72,164.tif,train,"['many houses arranged neatly in the dense residential area', 'there are many houses arranged neatly and separated by some roads', 'a residential area with many houses arranged neatly and separated by some roads', 'many houses are densely arranged and some roads go through this area', 'a residential area with some roads go through']"
73,165.tif,train,"['many houses arranged neatly in the dense residential area', 'there are many houses arranged neatly and separated by some roads', 'a residential area with many houses arranged neatly and separated by some roads', 'many houses are densely arranged and some roads go through this area', 'a residential area with some roads go through']"
74,166.tif,train,"['a residential area with many houses arranged densely and a railway passed by', 'many houses arranged densely in the residential area and a railway passed by', 'a dense residential area with many houses and a railway passed by', 'many houses arranged densely and a railway in the lower right corner', 'a residential area with many houses arranged neatly']"
75,167.tif,train,"['a residential area with some roads go through', 'many houses arranged neatly in the residential area and some roads go through this area', 'lots of houses arranged neatly in the residential area and separated by some roads', 'many houses arranged densely and divided by some roads', 'this is a residential area with many houses arranged neatly and divided by some roads']"
76,168.tif,train,"['a residential area with some roads go through', 'many houses arranged neatly in the residential area and some roads go through this area', 'lots of houses arranged neatly in the residential area and separated by some roads', 'many houses arranged densely and divided by some roads', 'this is a residential area with many houses arranged neatly and divided by some roads']"
77,169.tif,train,"['a dense residential area with many houses densely arrange and some roads go through this area', 'a dense residential area with lots of houses arranged densely and a piece of lawn beside', 'many houses arranged neatly with a piece of lawn beside', 'lots of houses arranged neatly and some roads go through this area', 'a residential area with a piece of lawn beside']"
78,17.tif,train,"['many houses arranged neatly and separated by a railway', 'a residential area with houses arranged neatly and a railway go through this area', 'a residential area with many houses arranged in lines and separated by a railway', 'a residential area with houses arranged neatly while many plants on the roadside', 'a dense residential area with many houses arranged neatly and separated by a railway ']"
79,170.tif,train,"['a dense residential area with many houses densely arrange and some roads go through this area', 'a dense residential area with lots of houses arranged densely and a piece of lawn beside', 'many houses arranged neatly with a piece of lawn beside', 'lots of houses arranged neatly and some roads go through this area', 'a residential area with a piece of lawn beside']"
80,171.tif,train,"['a dense residential area with many houses densely arrange and some roads go through this area', 'a dense residential area with lots of houses arranged densely and a piece of lawn beside', 'many houses arranged neatly with a piece of lawn beside', 'lots of houses arranged neatly and some roads go through this area', 'a residential area with a piece of lawn beside']"
81,172.tif,train,"['many houses arranged neatly in the residential area', 'a residential area with many houses arranged neatly and some roads go through this area', 'many houses arranged neatly and divided by some roads', 'this is a residential area with many houses arranged neatly', 'a residential area with some houses densely arranged and some roads go across this area']"
82,173.tif,train,"['many houses arranged neatly in the residential area', 'a residential area with many houses arranged neatly and some roads go through this area', 'many houses arranged neatly and divided by some roads', 'this is a residential area with many houses arranged neatly', 'a residential area with some houses densely arranged and some roads go across this area']"
83,174.tif,train,"['many houses arranged neatly in the residential area', 'a residential area with many houses arranged neatly and some roads go through this area', 'many houses arranged neatly and divided by some roads', 'this is a residential area with many houses arranged neatly', 'a residential area with some houses densely arranged and some roads go across this area']"
84,175.tif,train,"['many houses arranged neatly in the residential area', 'a residential area with many houses arranged neatly and some roads go through this area', 'many houses arranged neatly and divided by some roads', 'this is a residential area with many houses arranged neatly', 'a residential area with some houses densely arranged and some roads go across this area']"
85,176.tif,train,"['there are some houses arranged neatly and a railway passed by', 'a residential area with some houses arranged neatly and a railway beside', 'many houses arranged neatly in the residential area with a railway in the lower right corner', 'a residential area with a railway in the lower right corner', 'lots of houses arranged densely in the residential area and a railway in the lower right corner']"
86,177.tif,train,"['there are some houses arranged neatly and a railway passed by', 'a residential area with some houses arranged neatly and a railway beside', 'many houses arranged neatly in the residential area with a railway in the lower right corner', 'a residential area with a railway in the lower right corner and a big crossroad in the middle', 'lots of houses arranged densely in the residential area and a railway in the lower right corner']"
87,178.tif,train,"['a residential area with many houses densely arranged and a crossroad in the middle', 'many houses arranged neatly with a crossroad in the middle', 'lots of houses arranged neatly with some roads go through this area', 'this is a residential area with many houses densely arranged', 'many houses arranged neatly and some roads go through this area']"
88,179.tif,train,"['a residential area with many houses divided into rectangles by some roads', 'there are many houses densely arranged and divided into rectangles by some roads', 'a residential area with lots of houses arranged neatly', 'lots of houses arranged neatly and divided into rectangles by some roads', 'there are lots of houses arranged neatly in the dense residential area']"
89,18.tif,train,"['many houses arranged neatly and separated by a railway', 'a residential area with houses arranged neatly and a railway go through this area', 'a residential area with many houses arranged in lines and separated by a railway', 'a residential area with houses arranged neatly while many plants on the roadside', 'a dense residential area with many houses arranged neatly and separated by a railway ']"
90,180.tif,train,"['a residential area with many houses divided into rectangles by some roads', 'there are many houses densely arranged and divided into rectangles by some roads', 'a residential area with lots of houses arranged neatly', 'lots of houses arranged neatly and divided into rectangles by some roads', 'there are lots of houses arranged neatly in the dense residential area']"
91,181.tif,train,"['many houses are densely arranged and some roads go through this area', 'lots of houses are arranged neatly while some roads go across this area', 'a residential area with some houses arranged neatly', 'this is a residential area with many houses arranged neatly and divided by some roads', 'a residential area with houses arranged densely and divided by some roads']"
92,182.tif,train,"['many houses are densely arranged and some roads go through this area', 'lots of houses are arranged neatly while some roads go across this area', 'a residential area with some houses arranged neatly', 'this is a residential area with many houses arranged neatly and divided by some roads', 'a residential area with houses arranged densely and divided by some roads']"
93,183.tif,train,"['a residential area with many houses arranged neatly and divided into ractangles by some roads', 'many houses are densely arranged and divided into rectangles by some roads', 'lots of houses with different colors of roofs are divided into rectangles by some roads', 'many houses in the residential area are divided into rectangles by some roads', 'houses with different colours of roofs are divided into rectangles by some roads']"
94,184.tif,train,"['a residential area with many houses arranged neatly and divided into ractangles by some roads', 'many houses are densely arranged and divided into rectangles by some roads', 'lots of houses with different colors of roofs are divided into rectangles by some roads', 'many houses in the residential area are divided into rectangles by some roads', 'houses with different colours of roofs are divided into rectangles by some roads']"
95,185.tif,train,"['many houses arranged neatly with some grasslands beside', 'a residential area with many houses arranged neatly and some grasslands beside', 'this is a residential area with many houses and grasslands', 'many houses arranged neatly with some grasslands beside', 'a residential area with many houses arranged neatly and some roads go through this area']"
96,186.tif,train,"['many houses arranged neatly with some grasslands beside', 'a residential area with many houses arranged neatly and some grasslands beside', 'this is a residential area with many houses and grasslands', 'many houses arranged neatly with some grasslands beside', 'a residential area with many houses arranged neatly and some roads go through this area']"
97,187.tif,train,"['a residential area with many houses arranged neatly and divided into ractangles by some roads', 'many houses are densely arranged and divided into rectangles by some roads', 'lots of houses with different colors of roofs are divided into rectangles by some roads', 'many houses in the residential area are divided into rectangles by some roads', 'houses with different colours of roofs are divided into rectangles by some roads']"
98,188.tif,train,"['many houses with different colours of roofs arranged neatly in the residential area', 'there are many houses with red and grey roofs arranged neatly', 'a residential area with houses of red and grey roofs arranged neatly', 'many houses with different colours of roofs are densely arranged while some roads go across this area', 'lots of houses with different colours of roofs are densely arranged while some roads fo through this area']"
99,189.tif,train,"['many houses with different colours of roofs arranged neatly in the residential area', 'there are many houses with red and grey roofs arranged neatly', 'a residential area with houses of red and grey roofs arranged neatly', 'many houses with different colours of roofs are densely arranged while some roads go across this area', 'lots of houses with different colours of roofs are densely arranged while some roads fo through this area']"
100,19.tif,train,"['many houses arranged neatly and separated by a railway', 'a residential area with houses arranged neatly and a railway go through this area', 'a residential area with many houses arranged in lines and separated by a railway', 'a residential area with a railway go through and a road go over the railway', 'a dense residential area with a railway go through and a road go over the railway']"
101,190.tif,train,"['a residential area with many houses arranged neatly and divided into ractangles by some roads', 'many houses are densely arranged and divided into rectangles by some roads', 'lots of houses with different colors of roofs are divided into rectangles by some roads', 'many houses in the residential area are divided into rectangles by some roads', 'houses with different colours of roofs are divided into rectangles by some roads']"
102,191.tif,train,"['a residential area with many houses arranged neatly and divided into ractangles by some roads', 'many houses are densely arranged and divided into rectangles by some roads', 'lots of houses with different colors of roofs are divided into rectangles by some roads', 'many houses in the residential area are divided into rectangles by some roads', 'houses with different colours of roofs are divided into rectangles by some roads']"
103,192.tif,train,"['a residential area with many houses arranged neatly and divided into ractangles by some roads', 'many houses are densely arranged and divided into rectangles by some roads', 'lots of houses with different colors of roofs are divided into rectangles by some roads', 'many houses in the residential area are divided into rectangles by some roads', 'houses with different colours of roofs are divided into rectangles by some roads']"
104,193.tif,train,"['many houses arranged neatly and divided into rectangles by some roads', 'this is a residential area with many houses arranged neatly and some roads go through this area', 'a residential area with many houses arranged neatly and divided into rectangles by some roads', 'a residential area with lots of houses divided into rectangles by some roads', 'many houses arranged nratly with some roads go through this area']"
105,194.tif,train,"['many houses arranged neatly and divided into rectangles by some roads', 'this is a residential area with many houses arranged neatly and some roads go through this area', 'a residential area with many houses arranged neatly and divided into rectangles by some roads', 'a residential area with lots of houses divided into rectangles by some roads', 'many houses arranged nratly with some roads go through this area']"
106,195.tif,val,"['many houses arranged neatly and divided into rectangles by some roads', 'this is a residential area with many houses arranged neatly and some roads go through this area', 'a residential area with many houses arranged neatly and divided into rectangles by some roads', 'a residential area with lots of houses divided into rectangles by some roads', 'many houses arranged nratly with some roads go through this area']"
107,196.tif,val,"['many houses arranged neatly and divided into rectangles by some roads', 'this is a residential area with many houses arranged neatly and some roads go through this area', 'a residential area with many houses arranged neatly and divided into rectangles by some roads', 'a residential area with lots of houses divided into rectangles by some roads', 'many houses arranged nratly with some roads go through this area']"
